[0328/165127:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\nwjs\nw.exe"
[0328/170046:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\nwjs\nw.exe"
[0328/232100:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/232204:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/232246:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/232452:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/234146:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/234225:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/235056:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/235349:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/235402:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/235506:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/235730:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/235751:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/235812:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/235908:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0328/235944:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/000046:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/000827:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/000850:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/001231:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/001500:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/001514:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/001620:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/002034:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/002201:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/002210:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/002425:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/002526:ERROR:image_metadata_extractor.cc(114)] Couldn't load libexif. 126
[0329/005415:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/005811:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/010609:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/010642:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/011107:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/011447:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/012357:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/012524:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/012534:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/012627:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/012651:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/012818:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/012843:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/012945:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/013123:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/013307:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/013538:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/013558:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/013610:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/014304:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/015026:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/015501:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/015613:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/015817:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/015907:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/015923:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/020002:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/020121:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/020159:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/020212:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/020418:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/020427:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/021419:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/021558:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/021618:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/023730:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/024259:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/024310:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/024412:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/024649:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/024804:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/024920:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/024924:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0329/161659:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" --user-data-dir="C:\Users\Noblet_M\AppData\Local\color-picker\User Data" --profile-directory=Default --app-id=nmkgjokoidkfnphlpcojkppaahfjnjdj
[0331/120902:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" --user-data-dir="C:\Users\Noblet_M\AppData\Local\color-picker\User Data" --profile-directory=Default --app-id=nmkgjokoidkfnphlpcojkppaahfjnjdj
[0331/234425:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0331/234525:ERROR:image_metadata_extractor.cc(114)] Couldn't load libexif. 126
[0401/000146:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/000219:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/000338:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/000404:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/000505:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/000549:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/000710:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/000843:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/001010:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/001041:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/001212:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/001739:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/002814:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/002856:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/004555:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/004740:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/005455:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/005513:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/005601:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/011424:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/011617:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/011720:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/020256:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/020727:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/022601:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/031451:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/031746:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/032020:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/032114:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/032223:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/032404:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/032510:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/033411:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/033513:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/033535:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035114:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035122:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035425:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035458:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035531:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035601:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035622:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035651:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035730:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035747:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035842:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/035923:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/040151:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/040952:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/073319:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/083656:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" --user-data-dir="C:\Users\Noblet_M\AppData\Local\color-picker\User Data" --profile-directory=Default --app-id=nmkgjokoidkfnphlpcojkppaahfjnjdj
[0401/083708:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" --user-data-dir="C:\Users\Noblet_M\AppData\Local\color-picker\User Data" --profile-directory=Default --app-id=nmkgjokoidkfnphlpcojkppaahfjnjdj
[0401/073722:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/074450:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe" ./
[0401/090044:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\nwjs\nw.exe"
[0401/090141:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/090155:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/090155:ERROR:image_metadata_extractor.cc(114)] Couldn't load libexif. 126
[0401/090225:ERROR:image_metadata_extractor.cc(114)] Couldn't load libexif. 126
[0401/090255:ERROR:image_metadata_extractor.cc(114)] Couldn't load libexif. 126
[0401/090512:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/091058:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/091116:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/091145:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/091238:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/091251:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/091254:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/092110:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/092130:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/092215:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/092233:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/092528:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/092629:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/093414:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/094616:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Workspace\NodeWebkit\New_WebKit\nw.exe"
[0401/100802:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/101122:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/101755:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/101917:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/101958:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/102107:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/125845:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/125854:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/125909:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/125923:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/125934:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/125957:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/130008:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/131110:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/170349:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/170409:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0401/170732:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0403/220412:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
[0403/220452:INFO:nw_package.cc(175)] "C:\Users\Noblet_M\Desktop\NodeWebkit\New_WebKit\nw.exe"
